time,time_elapsed,time_work,time_error,output,input,acceleration_x,acceleration_y,acceleration_z,failure,next_hour_failure
2023-01-01 06:30:00,79121.5,0.0,79121.5,0.0,0.0,-0.00126704541926741,-0.04758940533789658,1.0086087389277676,1,1.0
2023-01-01 06:40:00,79721.4,0.0,79721.4,0.0,0.0,-0.0012477313640137,-0.0475664602608628,1.0086452155464094,1,1.0
2023-01-01 06:50:00,80321.4,0.0,80321.4,0.0,0.0,-0.00127701923785727,-0.04758677905783707,1.0086147641372687,1,1.0
2023-01-01 07:00:00,80921.4,0.0,80921.4,0.0,0.0,-0.0012601860019704901,-0.0475755004963602,1.008593506575623,1,1.0
2023-01-01 07:10:00,81521.5,0.0,81521.5,0.0,0.0,-0.0013074057758042299,-0.047615820969504355,1.008562727194364,1,1.0
2023-01-01 07:20:00,82121.3,0.0,82121.3,0.0,0.0,-0.00127337560822854,-0.047602405446893634,1.0086064896697207,1,1.0
2023-01-01 07:30:00,82721.3,0.0,82721.3,0.0,0.0,-0.00125455752500337,-0.047620852513487986,1.0086294711134023,1,1.0
2023-01-01 07:40:00,83321.6,0.0,83321.6,0.0,0.0,-0.00125512417921266,-0.04761832426465817,1.0087254657999472,1,0.0
2023-01-01 07:50:00,83921.2,0.0,83921.2,0.0,0.0,-0.00124478280600046,-0.04764605754414331,1.0086392869955982,1,0.0
2023-01-01 08:00:00,84521.4,0.0,84521.4,0.0,0.0,-0.0012149072515190398,-0.04762339035090202,1.0087094998174444,1,0.0
2023-01-01 08:10:00,85121.5,0.0,85121.5,0.0,0.0,-0.00123152918276478,-0.04768815710869938,1.0087090283581819,1,0.0
2023-01-01 08:20:00,85721.5,0.0,85721.5,0.0,0.0,-0.0012137331589804098,-0.04761704319200435,1.0085747077331217,1,0.0
2023-01-01 08:30:00,51761.4,0.0,51761.4,0.0,0.0,-0.00126198113938385,-0.047681788422746,1.008593228817329,1,0.0
2023-01-01 08:40:00,521.3,0.0,521.3,0.0,0.0,-0.0012532116540516299,-0.04770072744278362,1.0086802422036412,0,0.0
2023-01-01 08:50:00,1121.3,0.0,1121.3,0.0,0.0,-0.00122407295046706,-0.0476563792756109,1.0087305100972206,0,0.0
2023-01-01 09:00:00,1721.4,0.0,1721.4,0.0,0.0,-0.00120462885287213,-0.04763088220232603,1.0086992367642895,0,0.0
2023-01-01 09:10:00,2321.4,0.0,2321.4,0.0,0.0,-0.0012521784736959,-0.047619617866542306,1.0087628117723013,0,0.0
2023-01-01 09:20:00,2921.2,0.0,2921.2,0.0,0.0,-0.00124740506910246,-0.04762833564544649,1.008743283258553,0,0.0
2023-01-01 09:30:00,3521.4,0.0,3521.4,0.0,0.0,-0.00118294423726697,-0.0476077667254155,1.0088212336932645,0,0.0
2023-01-01 09:40:00,4121.3,0.0,4121.3,0.0,0.0,-0.00121372444636803,-0.047585952880700236,1.0087841998434972,0,0.0
2023-01-01 09:50:00,4721.2,0.0,4721.2,0.0,0.0,-0.0011905312472493001,-0.04758825258813297,1.0087390115800925,0,0.0
2023-01-01 10:00:00,5321.3,0.0,5321.3,0.0,0.0,-0.00128806829673084,-0.047632362856661434,1.008703491656179,0,0.0
2023-01-01 10:10:00,5921.3,0.0,5921.3,0.0,0.0,-0.0012586410953681101,-0.04764200019629333,1.0087024314843474,0,0.0
2023-01-01 10:20:00,6521.3,0.0,6521.3,0.0,0.0,-0.00123842709366718,-0.04761008669690714,1.008706634760354,0,1.0
2023-01-01 10:30:00,7121.2,0.0,7121.2,0.0,0.0,-0.00122253955072357,-0.04758028838546538,1.0087882225790037,0,1.0
2023-01-01 10:40:00,7721.3,0.0,7721.3,0.0,0.0,-0.00122399963552659,-0.04758131667098387,1.0088566320444325,0,1.0
2023-01-01 10:50:00,8321.3,0.0,8321.3,0.0,0.0,-0.00117422690124619,-0.047498702564068365,1.0088398986795817,0,1.0
2023-01-01 11:00:00,8921.2,0.0,8921.2,0.0,0.0,-0.00116832171601177,-0.04753029953169534,1.0088045080859724,0,1.0
2023-01-01 11:10:00,9521.3,0.0,9521.3,0.0,0.0,-0.00121302979195066,-0.047482316676063493,1.0088326619209216,0,1.0
2023-01-01 11:20:00,10121.1,0.0,10121.1,0.0,0.0,-0.00124216657466763,-0.04751517856157062,1.0087653054605823,1,1.0
2023-01-01 11:30:00,10721.3,0.0,10721.3,0.0,0.0,-0.0012016525758590199,-0.047490449594175047,1.0088553049170477,1,1.0
2023-01-01 11:40:00,11321.2,0.0,11321.2,0.0,0.0,-0.00125106816746268,-0.047506360812202865,1.0088498661899181,1,1.0
2023-01-01 11:50:00,11921.3,0.0,11921.3,0.0,0.0,-0.0012423469618398002,-0.04749755286798626,1.0087269468656408,1,1.0
2023-01-01 12:00:00,12521.0,0.0,12521.0,0.0,0.0,-0.0012100137000307799,-0.04746703330336578,1.0086765208951982,1,1.0
2023-01-01 12:10:00,13121.2,0.0,13121.2,0.0,0.0,-0.00126186038123828,-0.04753293541633378,1.0086665104032977,1,1.0
2023-01-01 12:20:00,13721.3,0.0,13721.3,0.0,0.0,-0.00130895465154737,-0.04751080659217198,1.0087636417388859,1,1.0
2023-01-01 12:30:00,14321.1,0.0,14321.1,0.0,0.0,-0.00130807167884764,-0.047534065620205526,1.0088501517713984,1,1.0
2023-01-01 12:40:00,14921.1,0.0,14921.1,0.0,0.0,-0.00131176095951772,-0.047553322009250595,1.0087306116102912,1,1.0
2023-01-01 12:50:00,15521.2,0.0,15521.2,0.0,0.0,-0.00129762351147635,-0.047497667856001916,1.008637943244691,1,1.0
2023-01-01 13:00:00,16121.1,0.0,16121.1,0.0,0.0,-0.00130757857018597,-0.04749392922622231,1.0086160370166721,1,1.0
2023-01-01 13:10:00,16721.1,0.0,16721.1,0.0,0.0,-0.00136812653009892,-0.047491802948819384,1.0085498935452937,1,1.0
2023-01-01 13:20:00,17321.2,0.0,17321.2,0.0,0.0,-0.00140648443027365,-0.047510312683746794,1.0085285979757717,1,1.0
2023-01-01 13:30:00,17921.1,0.0,17921.1,0.0,0.0,-0.00140772877374579,-0.04755044671281364,1.008448283860741,1,1.0
2023-01-01 13:40:00,18518.0,0.0,18518.0,0.0,0.0,-0.0014155405486872001,-0.047459475823809764,1.0084568080291403,1,1.0
2023-01-01 13:50:00,19121.3,0.0,19121.3,0.0,0.0,-0.00136693080185761,-0.04750998001342645,1.008444684223369,1,1.0
2023-01-01 14:00:00,19721.2,0.0,19721.2,0.0,0.0,-0.00143251765052929,-0.047518851014513315,1.008324913242977,1,1.0
2023-01-01 14:10:00,20321.2,0.0,20321.2,0.0,0.0,-0.0014364363431160199,-0.047566900880826206,1.0083522118974004,1,1.0
2023-01-01 14:20:00,20921.3,0.0,20921.3,0.0,0.0,-0.00139830102661909,-0.04746159690677868,1.008431403460492,1,1.0
2023-01-01 14:30:00,21521.2,0.0,21521.2,0.0,0.0,-0.00140678725615837,-0.04743474877622101,1.0083725126032885,1,1.0
2023-01-01 14:40:00,22121.4,0.0,22121.4,0.0,0.0,-0.00144527290102133,-0.04745820242543859,1.0083243236552533,1,1.0
